"","Title","Location","Plaque.text.Description","Agriculture","Archaeology","Artsculture","Blackheritage","Buildingsstructures","Communities","Disasters","Education","Environment","Exploration","FirstNations","Franco","Furtrade","Industry","Organizations","People","Politics","Religion","Scientific","Sports","Transportation","Warconflict","Womenhist","Region","County.District","Municipality","Latitude","Longitude"
"11","""Tiger"" Dunlop 1792-
1848","At Dunlop's Tomb historic site, Highway 21, just north of Goderich","In the nearby tomb is buried Dr. William Dunlop, physician, author, woodsman, soldier, politician and raconteur. Born in Scotland, he served in Canada as an army surgeon during the War of 1812. His writings, including articles based on his residence in India 1817-19, won him a place among the witty contributors to Blackwood's Magazine with the title of ""Tiger."" In 1826, he emigrated to Upper Canada. As ""Warden of the Forests"" for the Canada Company, he assisted John Galt in opening up the Huron Tract and in 1827 founded Goderich.
Dunlop was member for Huron 1841-46 and wrote two books about Canada.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"Southwestern Ontario","County of Huron","Twp of Ashfield-Colborne- Wawanosh",43.75933717,-81.701399
"12","107 Wellington Street
West 1889","In the lobby of 95 Wellington Street West, Toronto","The oldest private club building in Ontario, 107 Wellington Street West was designed for the Toronto Club in 1888-89 by Frank Darling and Samuel Curry. Its design mixes different architectural styles and marks an important transition in Darling's career. The sandstone base, terracotta details, windows and capitals on the ground floor reflect the
Richardsonian Romanesque Style. The second floor's Palladian- like windows, pilasters and capitals, frieze, cornice mouldings and the nearly-square attic windows are in the Renaissance Revival Style. The interior contains a billiards room, reading rooms, and dining rooms finished with wood paneling and carvings, stone and marble fireplaces, and plaster ceilings.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Greater Toronto Area","City of Toronto (District)","City of Toronto",43.6464438,-79.382093
"13","Abel Stevens","At the cemetery at Bellamy's Lake within the lands he helped to settle, west of Toledo - County Road 8, west of Highway 29","Born at Quaker Hill, New York, about 1750, Stevens served as a British agent during the Revolutionary War despite being enrolled in the rebel militia. After the war, he lived in Vermont where, as an ardent Baptist, he became a deacon in 1786.
Attracted by Lieutenant-Governor Simcoe's offer of land in Upper Canada, he moved to the province and settled in this area in 1796. A vigorous colonizer, Stevens within two years of his arrival, had encouraged some 100 families, many of them Baptists, to locate in Kitley and Bastard townships. He built mills and laid the foundation for the establishment of ironworks at present-day Lyndhurst. Stevens remained a leader in the Baptist Church in which he had been ordained a minister in 1804.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,"Eastern Ontario","United Counties of Leeds and Grenville","Township of Elizabethtown-Kitley",44.72602796,-76.023074
"14","Abraham Erb 1772-1830","In Waterloo Park, Young Street West, Waterloo","Like many pioneers of this district, the founder of Waterloo was a German Mennonite from Franklin County, Pennsylvania. In 1805, he purchased 900 acres of bush land on the site of this town. He settled here in 1806 and erected the first sawmill two years later. His gristmill, built in 1816, remained in continuous operation for 111 years and formed the nucleus and social centre of a thriving municipality.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Southwestern Ontario","Regional Municipality of Waterloo","City of Waterloo",43.46717596,-80.52975934
"15","Acting Sergeant John Rennie, G.C. 1919-1943","At the armoury, 200 James Street North, Hamilton","""Jock"" Rennie was awarded the George Cross posthumously in May 1944 for an instinctive, selfless act of heroism. Born in Aberdeen, Scotland, he came to Ontario with his family as a child and grew up in Kitchener. Rennie enlisted in The Argyll and Sutherland Highlanders of Canada (Princess Louise's) at Hamilton in July 1940, and went overseas with them to England in the summer of 1943. On October 29, 1943, he was supervising a grenade-throwing exercise near Riddlesworth when a live grenade fell back into the trench. Rennie pushed one of his men aside and tried to thrown the grenade clear. At that moment it exploded. His body shielded others from harm, but he died of his injuries.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Southwestern Ontario","City of Hamilton (District)","City of Hamilton",43.2615538,-79.86676968
"16","Acton","In front of the public library, 17 River Street, Acton","Methodist preachers Ezra and Zenas Adams and their brother Rufus settled on the west branch of the Credit River in the 1820s. A community of pioneer families grew around the Adams family farms. Nicklin's saw and grist mill and Nelles' tannery operated here by the early 1840s. They were the nucleus of a hamlet first named Danville, then Adamsville after its first settlers and, by 1844, Acton. In 1856 the Grand Trunk Railway arrived, stimulating growth east along Mill Street from the river  to the railway station. By 1869, Acton had some 700 inhabitants and boasted woodworking mills, tanneries, glove makers and a carriage works. It was incorporated as a village on January 6, 1874.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Greater Toronto Area","Regional Municipality of Halton","Town of Halton Hills",43.6319238,-80.0431723
"17","Addington Road, The","Near the route of the former colonization road, Highway 41 at Highway 7, Kaladar","This colonization road extended for about 73 miles northward from the Clare River in Sheffield Township to the Peterson  Road in Burdenell Township. It formed a network of government roads built to open up the southern region of the pre-Cambrian Shield. From 1854 to 1857, Aylsworth B. Perry, a local surveyor, supervised construction of the road from the Clare River to the Madawaska River. A twelve-mile extension northward to the Peterson Road was added during 1863-64. Settlement of the ""free-grant"" lands along the route progressed rapidly and by 1862 the population totalled about 800. Although parts of the road were later abandoned, considerable sections were incorporated into the present Highway 41.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Eastern Ontario","County of Lennox and Addington","Township of Addington Highlands",44.648492,-77.120302
"18","Adelaide Hunter Hoodless 1858-1910","At her birthplace, now a museum, Blue Lake Road, off Highway 24, west of St. George","Adelaide Hunter was born in this farm house and lived here until she married John Hoodless in 1881. On February, 19, 1897,  she organized at Stoney Creek the world's first Women's Institute. It was her belief that, in this organization, rural women could discuss their problems and work together to improve their standard of homemaking and citizenship. The movement  spread rapidly throughout Ontario and later to the other provinces. Mrs. Hoodless, a natural leader and forceful speaker, introduced the teaching of domestic science into Ontario schools and obtained funds for the building of Macdonald Institute at Guelph.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"Southwestern Ontario","County of Brant (District)","County of Brant",43.23744963,-80.29681938
"19","Admiral Sir Charles Edmund Kingsmill 1855-
1935","On Highway 15, about 600 metres (nearly 2,000 feet) northeast of the intersection of Highway 15 and Big Rideau Lake Road, southwest of Portland","Admiral Sir Charles Edmund Kingsmill was the founder of the Canadian Navy. Born in Guelph, Ontario, he attended Upper Canada College and in 1869, entered the Royal Navy in Britain. In 1908, he returned to Canada to advise Prime Minister Sir Wilfrid Laurier on the creation of a Canadian navy. He served as the first director of the naval service from 1910-1920 and saw the new navy safely through a period of limited resources and political controversy, and the demands of the First World War. During the War, Kingsmill strengthened the command and intelligence gathering organizations, essential foundations for the future growth of the Canadian Navy. Throughout his service he encouraged and supported the training of young Canadian officers who would eventually lead Canada's great naval efforts of the Second World War and early Cold War. Kingsmill was knighted by King George V in 1918. He died at his summer home near Portland and is buried here in Emmanuel Anglican Cemetery.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Eastern Ontario","United Counties of Leeds and Grenville","Township of Rideau Lakes",44.68379401,-76.20946613
"20","Agnes Campbell MacPhail 1890-1954","At the entrance to Proton Community Park on Grey County Road 9 (Agnes Macphail Road), Hopeville - approximately 12 km north of Highway 89 in Proton Township","The first woman elected to the parliament of Canada was born on a nearby farm in Proton Township. In 1919, women had received the right to sit in the federal house, and in that year Agnes MacPhail joined the United Farmers of Ontario. Elected as a Progressive for Grey in 1921, she retained her seat until 1940. A strong and eloquent speaker, she always maintained her independence from party policies, and was concerned mainly with agricultural affairs, prison reform and the welfare of the aged. In 1942, she joined the provincial C.C.F. party and represented East York in the Ontario legislature 1943-45 and 1948-51.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,"Southwestern Ontario","County of Grey","Township of Southgate",44.11629148,-80.55005528
"21","Ailsa Craig","At the community centre, Highway 7 and Jameson Street, Ailsa Craig","The founding of this community coincided with the construction of the section of the Grand Trunk Railway line from St. Mary's to Point Edward, begun in 1858 and completed a year later. In 1861 David Craig and W.G. Shipley registered subdivisions and a post office was opened. Adopting the name of a small  Scottish island, Ailsa Craig, the settlement flourished as the centre for the fertile surrounding region. In 1870, it had a population of 500 and contained hotels, stores, mills and  several other small industries. By this time, Ailsa Craig had become the site of the largest cattle market west of London. By a Provincial Act of December 21, 1874, the community became an incorporated village and the first council met on January 19, 1875.",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Southwestern Ontario","County of Middlesex","Municipality of North Middlesex",43.147411,-81.535319
"22","Aimee Semple McPherson 1890-1944","Opposite Salford United Church, Salford. The village is located southwest of Woodstock, at County Road 46 and Highway 119","The celebrated evangelist and faith healer Aimee (Kennedy) McPherson was born on a farm west of here. She led revivalist meetings in Ontario in 1915-16 and then barnstormed the United States, drawing large crowds in tents, concert halls and sports arenas. Capitalizing on her vast popularity, she founded the Church of the Foursquare Gospel and built the Angelus Temple in Los Angeles in 1923. Sister Aimee preached her message of Christian love daily in the temple's 5,000-seat auditorium and over its radio station. She staged morality plays, healed countless invalids, and oversaw social relief programs. Although scandals and financial troubles beset McPherson at the height of her fame, the Foursquare Gospel Church flourished. It now operates worldwide.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,"Southwestern Ontario","County of Oxford","Township of South-west Oxford",42.99699818,-80.82706153
"23","Albert Carman 1833-
1917","At 305 Church Street, Belleville","A commanding figure in Canadian Methodism during the late 19th and early 20th centuries, Carman was born in Iroquois and educated at Victoria College, Cobourg. He worked briefly as a teacher and was then appointed principal of Belleville Seminary, later Albert College, in 1858. A masterful administrator and, after entering the Methodist Episcopal ministry, a militant advocate for Methodist education, Carman spearheaded the successful development of this Methodist school during his 17- year term there. Following his election as a Bishop in 1874, he gained increasing prominence in church affairs, particularly as an ardent supporter of union among the Methodist denominations. When union was achieved in 1884, Carman became a General Superintendent of the Methodist Church, a post he held until his retirement in 1914.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"Eastern Ontario","County of Hastings","City of Belleville",44.1687139,-77.3831529
"24","Albert College","At College Hill United Church, 16 North Park Street, the original site of the college, Belleville","In 1854, the Methodist Episcopal Church, recognizing the need to improve the training of its clergy, began the construction of a seminary on this site. Designed to accommodate 150 residents with classroom facilities for 400 students, Belleville Seminary was opened in July 1857. Under the able direction of its principal, Albert Carman, the school flourished, producing several eminent graduates. In 1866, it was rechartered as Albert College, an affiliate of the University of Toronto, and five years later it became an independent degree-granting institution. When Victoria College in Cobourg was chosen as official university for the newly-formed Methodist Church in 1884, Albert College became a private collegiate. Moved in 1926 to the present location overlooking the Bay of Quinte, it remains a distinguished residential school.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Eastern Ontario","County of Hastings","City of Belleville",44.17794438,-77.38905354
"25","Alderville Manual Labour School","On the grounds of the Band Administration Office of the Alderville First Nation, Highway 45, south of Roseneath","One of several technical training institutions operating in Upper Canada during the first half of the 19th century, the Alderville Manual Labour School was established here by 1839 by Wesleyan Methodist missionaries. The school was designed, as were others of this type, to assimilate Native children into the Euro-Canadian society that was growing rapidly within the province. To that end, it attempted to eradicate the traditional Native way of life, and stressed instead Christianity, the rudiments of an English education, and skills in farming and domestic crafts. Believing that the school proved the effectiveness of the manual labour approach, Egerton Ryerson, Chief Superintendent of Education for Upper Canada, recommended in 1847 that similar facilities be established for Native children throughout the province.",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Central Ontario","County of Northumberland","Alderville First Nation",44.182374,-78.063284
"26","Alderville Manual Labour School","On the grounds of the Band Administration Office of the Alderville First Nation, Highway 45, south of Roseneath","(Ojibwe title) Alderville odaenah kikinoomaudeewigummig (Ojibwe text) Auzhigoh gomau-minik datchinoobuneen kikinoomaudeewigummigoon Nopimeeng Canada chibwauh apita-ossaek medaussiwi-ashi-zhaungissiwih dasso- kikinooniwin apee Wesley anamie-ininiwuk w'gauh inukissitoowaut maundah kikinoomaudeewigummig, Aldervilling (1839) medaussiwi-ashi-zhaungiwissiwhi-ashi-nissimidunnuh ashi-nishiwaussiwih kikinooniwin. Tchi zhaugoonaushee- waudiziwaut Anishinaubee abinoodjeehnuk, mee gauh ondjih inukissitchigaudaek kikinoomaudeewigummigoon. Nitam Zhaugoonaushee ogimauk w'gee weekitchitoon-auwauh wee bawishkikaudaek, waebinikaudaek Anishinaubae-waudiziwin, aunikaekaumaukaewin gayae, mee dush kikinoomaugunuk nawutch weebah tchi w'daessinum-oowaut Zhaugoonaushee- anamiewin, kikaendaussowin, kitigaewin, ningo-dodaewizi- bumeekaugaewin. W'ldaebawae-waendung Anishinaubaeg tchi mino-dodaukoowaut maundah dano kikaendaussowin, Anamie- ininih Egerton Ryerson, w'gauh ogimaukindung Kikinoomaugae- bumeek-augaewin, Nopimeeng Canada, w'gee gagauzoongae tchi w'wizhitumoowindoowauh Anishinaubaek w'needjaunissiwaun kikinoomaudeewigummigoon.",0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"Central Ontario","County of Northumberland","Alderville First Nation",44.182374,-78.063284
"27","Alexander Cameron Rutherford 1857-1941","On the grounds of the Osgoode Township Museum, Highway 31, Vernon","The first premier of Alberta, Rutherford was born in Osgoode Township of Scottish parents and educated at McGill University. In 1895, after practicing law in Ottawa and Kemptville, he moved to Strathcona, near Edmonton. Elected to the territorial assembly seven years later, Rutherford achieved prominence as deputy speaker of the legislature. When the province of Alberta was created in 1905, he became premier, provincial treasurer and minister of education in the first government.
Rutherford skillfully established the province's administrative, judicial and educational framework, but prolonged debate regarding a controversial railway policy precipitated his resignation as premier in 1910. Although retired from politics after 1913, he retained an active interest in educational matters, serving as chancellor of the University of Alberta from 1927 until his death.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Ottawa","City of Ottawa (District)","City of Ottawa",45.16037288,-75.46248303
"28","Alexander Morris 1826-
1889","In Stewart Park, behind the town hall, 80 Gore Street East, Perth","An astute public servant who played a significant role in the development of Western Canada, Morris was born in Perth. In 1861, after establishing a successful law practice in Montreal, he was elected to the legislature as the member for Lanark South. An eloquent advocate of the union of British North America, he supported the coalition that made confederation possible. Leaving federal politics in 1872, Morris became interim administrator, then Lieutenant-Governor of Manitoba (1872-1877) and the North-West Territories (1872-1876).
Although charged with managing a huge area with disparate groups during volatile times, he successfully introduced responsible government in Manitoba and negotiated treaties with the native peoples. Returning to Ontario in 1878, Morris served in the provincial legislature until his retirement in 1886.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Eastern Ontario","County of Lanark","Town of Perth",44.89795862,-76.24984669
"29","Allan Studholme 1846-
1919","In Woodlands Park, near Barton Street East and Wentworth Street North, Hamilton","The first independent labour representative elected to the Ontario legislature, Studholme was born near Birmingham, England. He emigrated to Canada in 1870, eventually settling in Hamilton. A skilled stove-mounter, Studholme became actively involved in the emerging trade union movement. In 1906, in the wake of the bitter Hamilton Street Railway strike, he ran as an independent working-class candidate in Hamilton East.
Victorious in this and three subsequent elections, he sat as the lone labour representative in the legislature for almost thirteen years. Despite his political isolation, Studholme worked tirelessly to promote the interests of working-class men and women and, through his principled stands, he helped popularize such major reforms as the eight-hour day, workmen's compensation the minimum wage and women's suffrage.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"Southwestern Ontario","City of Hamilton (District)","City of Hamilton",43.25890679,-79.84424866
"30","Allenford Pow-wow 1855, The","Opposite St. Andrew's Presbyterian Church, Highway 21 west of Side Road 10, Allenford","In July 1855, at nearby ""Floodwood Crossing"" (now Allenford), representatives of the Ojibwa Indians conferred with
government officials at a meeting later called the ""Allenford Pow- wow"". The conference resolved a boundary dispute which had arisen over the terms of the Saugeen treaty of 1854. The
Ojibwa interpretation of this treaty held ""Copway's Road"", an Indian pathway from Saugeen Village to Lake Huron, to be the boundary of the land ceded by them on the north side of the Saugeen River. Lord Bury, Superintendent General of Indian Affairs and the government's principal representative, accepted this interpretation which granted the Indians increased frontage on Lake Huron and removed a major source of friction.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Southwestern Ontario","County of Bruce","Town of South Bruce Peninsula",44.535961,-81.179899
"31","Alligator Tug, The","In Lynnwood Park, Norfolk Street North at Alligator Lane, Simcoe","By the late 19th century, lumbering in Ontario had retreated from easily accessible waterways and movement of logs became difficult and expensive. An imaginative solution to this problem, the amphibious steam warping (or winching) tug was developed in 1888-89 by an inventive local entrepreneur, John Ceburn West. His remarkable vessel, commonly called the Alligator was driven by paddle wheels and housed a powerful winch that enabled the scow to tow large log booms cheaply and efficiently and to pull itself over land from lake to lake.
West's iron foundry, West and Peachey of Simcoe, quickly became the major producer of Alligators supplying the North American lumbering industry with some 200 tugs by 1932. Although considerably modified, the Alligator is still in use today.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"Southwestern Ontario","County of Norfolk (District)","County of Norfolk",42.840626,-80.305348
"32","Alma College","At the former college, Moore and McIntyre Streets, St. Thomas","In response to a petition from a provisional Board of Management appointed in 1876, the Ontario Government granted a charter the following year for the erection of a ladies' college in St. Thomas. In this building, designed in the High Victorian Gothic style by James Balfour of Hamilton, Alma College was opened in October 1881. The establishment of the College resulted largely from the contributions of residents of St. Thomas and Elgin County and the efforts of Bishop Albert Carman, D.D., Bishop of the Niagara and London Diocese of the Methodist Episcopal Church. From its inception, the school offered matriculation for university entrance and succeeded in providing liberal instruction to young ladies ""to make their lives useful and happy and their tastes elevated and refined.""",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Southwestern Ontario","County of Elgin","City of St. Thomas",42.773954,-81.190769
"33","Almanda Walker- Marchand and the Fédération des Femmes Canadiennes-Françaises","By the walkway, at the central, east entrance to Strathcona Park in Ottawa (across from 50 Ridge Road).","Almanda Walker-Marchand was the founder and president of the Fédération des femmes canadiennes-françaises (FFCF). Born in Quebec City in 1868, she moved with her family first to Montreal and then to Ottawa. Her last home overlooked this park. In 1914, days after the declaration of the First World War, Walker-Marchand encouraged a group of more than 400 French-Canadian women to form an organization dedicated to helping French-Canadian soldiers and their families both during and after the war. From 1918-45 they contributed to the relief of poverty, advancement of health and education and the promotion of francophone culture. During Walker-Marchand's 32 years as its president, the FFCF expanded beyond Ottawa to form many chapters in francophone communities across Canada. In 1943, Walker-Marchand was made an officer of the Order of the British Empire. She died in 1949, but the group continued and evolved to champion the political, social and economic rights of francophone women throughout Canada.
Celebrating its 100th anniversary in 2014, it is known today as the Alliance des femmes de la francophonie canadienne.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,"Ottawa","City of Ottawa (District)","City of Ottawa",45.425683,-75.671683
"34","Andrew Edward McKeever 1895-1919","In Cenotaph Park, Wallace Avenue North and Elizabeth Street East, Listowel","A World War I flying ""ace"", McKeever was born and raised in Elma Township. He enlisted with the Canadian Expeditionary Force in 1916 but, attracted by the life of the fighter pilot, transferred to Britain's Royal Flying Corps once he was overseas. From May 1917 to January 1918 McKeever was posted to the 11th Squadron on the Western front. An outstanding operator of the two-seater Bristol Fighter, he, with his various observers or gunners, shot down some 30 enemy aircraft during reconnaissance missions and offensive patrols, earning the Military Cross and Bar and the Distinguished Service Order for his ""conspicuous gallantry and devotion to duty"". At the end of the war, McKeever returned home where, shortly afterward, he died as the result of a car accident.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"Southwestern Ontario","County of Perth","Town of North Perth",43.733595,-80.951381
